title,label,label_name,topic,word_count,group,term,count,density_per_1000
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,einige menschen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,manche menschen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,viele menschen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,experten sagen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,experten behaupten,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,es heißt,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,es wird gesagt,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,es wird behauptet,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,es wurde vorgeschlagen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,es wird oft gesagt,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,es wird berichtet,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,es wird argumentiert,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,es wird angenommen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,forscher sagen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,wissenschaftler sagen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,historiker sagen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,kritiker sagen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,studien zeigen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,forschungen zeigen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,laut einigen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,einige argumentieren,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,einige glauben,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,es gilt als,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_attribution,man nimmt an,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,viele,1,0.23696682464454977
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,die meisten,1,0.23696682464454977
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,mehrere,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,eine reihe von,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,eine mehrheit von,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,zahlreich,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,zahlreiche,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,zahlreichen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,zahlreicher,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,zahlreiches,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,verschieden,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,verschiedene,2,0.47393364928909953
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,verschiedenen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,verschiedener,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,bestimmte,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,einige,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vague_quantifier,wenige,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,evaluative_puffery,natürlich,1,0.23696682464454977
